,RGZ20k - RGZ,RGZ20k - FIRST,RGZ20k - MB,ImageNet - RGZ20k,ImageNet - RGZ,ImageNet - FIRST,ImageNet - MB
MMD,0.32441526651382446,0.039305150508880615,0.20790231227874756,,,,
FID,2679.544921875,153.79983520507812,1503.14697265625,,,,
MMD,,,,0.43934524059295654,0.09662032127380371,0.37287437915802,0.30103933811187744
FID,,,,3967.460205078125,1962.53955078125,3869.06298828125,4533.59765625
