,RGZ20k - RGZ,RGZ20k - FIRST,RGZ20k - MB,ImageNet - RGZ20k,ImageNet - RGZ,ImageNet - FIRST,ImageNet - MB
MMD,0.21446716785430908,-0.0022863149642944336,0.03129303455352783,,,,
FID,3.1196841518976726e-06,1.2300344076621172e-10,2.079095784424112e-09,,,,
MMD,,,,0.06215858459472656,-0.013164997100830078,0.05321192741394043,0.06799471378326416
FID,,,,5.621109266940039e-06,1.056331598192628e-06,5.645860710501438e-06,5.429389148048358e-06
