,RGZ20k - RGZ,RGZ20k - FIRST,RGZ20k - MB,ImageNet - RGZ20k,ImageNet - RGZ,ImageNet - FIRST,ImageNet - MB
MMD,0.2602870464324951,0.10961019992828369,0.18911594152450562,,,,
FID,102.1581802368164,36.65488052368164,63.53993225097656,,,,
MMD,,,,0.31960439682006836,0.2468874454498291,0.28905439376831055,0.2554645538330078
FID,,,,352.2196350097656,338.31976318359375,338.04388427734375,318.46441650390625
