,RGZ20k - RGZ,RGZ20k - FIRST,RGZ20k - MB,ImageNet - RGZ20k,ImageNet - RGZ,ImageNet - FIRST,ImageNet - MB
MMD,0.37396156787872314,0.12732970714569092,0.1478068232536316,,,,
FID,12.542159080505371,2.3359079360961914,3.7403080463409424,,,,
MMD,,,,0.4503755569458008,0.4043724536895752,0.4211101531982422,0.40020012855529785
FID,,,,127.33737182617188,128.918701171875,126.01171875,122.42253112792969
