,RGZ20k - RGZ,RGZ20k - FIRST,RGZ20k - MB,ImageNet - RGZ20k,ImageNet - RGZ,ImageNet - FIRST,ImageNet - MB
MMD,0.328948438167572,0.09152030944824219,0.02932441234588623,,,,
FID,0.04551970958709717,0.0052912975661456585,0.0017694460693746805,,,,
MMD,,,,0.8969866633415222,0.643549382686615,0.7141404747962952,0.7222482562065125
FID,,,,3.4532041549682617,3.259799003601074,3.6321942806243896,3.537764072418213
